Time,temperature,air_rh,ground_rh,tank_level,volume,luminosity
18/03/2022 18:07,,,,,,33803.8
18/03/2022 18:09,,,,,,33802
18/03/2022 18:11,,,,,,33795.9
18/03/2022 18:13,,,,,,33799.6
18/03/2022 18:15,,,,,,33798.3
18/03/2022 18:17,,,,,,33793.5
18/03/2022 18:19,,,,,,33801.4
18/03/2022 18:21,,,,,,33797.1
18/03/2022 18:23,,,,,,33793.6
18/03/2022 18:25,,,,,,33797
18/03/2022 18:27,,,,,,33795
18/03/2022 18:29,,,,,,33792.1
18/03/2022 18:31,,,,,,33804
18/03/2022 18:33,,,,,,33792.3
18/03/2022 18:35,,,,,,33795.8
18/03/2022 18:40,,,,,,33798
18/03/2022 18:42,,,,,,33791
18/03/2022 18:44,,,,,,33795
18/03/2022 18:46,,,,,,33800
18/03/2022 18:48,,,,,,33797
18/03/2022 18:50,,,,,,33795
18/03/2022 18:52,,,,,,33795
18/03/2022 18:54,,,,,,33793
18/03/2022 18:56,,,,,,33797
18/03/2022 18:58,,,,,,33796
18/03/2022 19:00,,,,,,33792
18/03/2022 19:02,,,,,,33788
18/03/2022 19:04,,,,,,33791
18/03/2022 19:06,,,,,,33789
18/03/2022 19:08,,,,,,33788
18/03/2022 19:10,,,,,,33793
18/03/2022 19:12,,,,,,33788
18/03/2022 19:14,,,,,,33786
18/03/2022 19:16,,,,,,33801
18/03/2022 19:18,,,,,,33809
18/03/2022 19:20,,,,,,33807
18/03/2022 19:22,,,,,,33807
18/03/2022 19:24,,,,,,33812
18/03/2022 19:26,,,,,,33806
18/03/2022 19:28,,,,,,33804
18/03/2022 19:30,,,,,,33808
18/03/2022 19:32,,,,,,33808
18/03/2022 19:34,,,,,,33806
18/03/2022 19:36,,,,,,33812
18/03/2022 19:38,,,,,,33810
18/03/2022 19:40,,,,,,33807
18/03/2022 19:42,,,,,,33801
18/03/2022 19:44,,,,,,33809
18/03/2022 19:46,,,,,,33807
18/03/2022 19:48,,,,,,33806
18/03/2022 19:50,,,,,,33812
18/03/2022 19:52,,,,,,33805
18/03/2022 19:54,,,,,,33805
18/03/2022 19:56,,,,,,33814
18/03/2022 19:58,,,,,,33804
18/03/2022 20:00,,,,,,33813
18/03/2022 20:02,,,,,,33804
18/03/2022 20:04,,,,,,33799
18/03/2022 20:06,,,,,,33814
18/03/2022 20:08,,,,,,33805
18/03/2022 20:10,,,,,,33807
18/03/2022 20:12,,,,,,33808
18/03/2022 20:14,,,,,,33807
18/03/2022 20:16,,,,,,33809
18/03/2022 20:18,,,,,,33809
18/03/2022 20:20,,,,,,33810
18/03/2022 20:22,,,,,,33810
18/03/2022 20:24,,,,,,33807
18/03/2022 20:26,,,,,,33803
18/03/2022 20:28,,,,,,33801
18/03/2022 20:30,,,,,,33806
18/03/2022 20:32,,,,,,33804
18/03/2022 20:34,,,,,,33805
18/03/2022 20:36,,,,,,33805
18/03/2022 20:38,,,,,,33808
18/03/2022 20:40,,,,,,33802
18/03/2022 20:42,,,,,,33809
18/03/2022 20:44,,,,,,33804
18/03/2022 20:46,,,,,,33808
18/03/2022 20:48,,,,,,33808
18/03/2022 20:50,,,,,,33806
18/03/2022 20:52,,,,,,33806
18/03/2022 20:54,,,,,,33803
18/03/2022 20:56,,,,,,33809
18/03/2022 20:58,,,,,,33809
18/03/2022 21:01,,,,,,17184
18/03/2022 21:03,,,,,,0
18/03/2022 21:05,,,,,,0
18/03/2022 21:07,,,,,,0
18/03/2022 21:09,,,,,,0
18/03/2022 21:11,,,,,,0
18/03/2022 21:13,,,,,,0
18/03/2022 21:15,,,,,,0
18/03/2022 21:17,,,,,,0
18/03/2022 21:19,,,,,,0
18/03/2022 21:21,,,,,,0
18/03/2022 21:23,,,,,,0
18/03/2022 21:25,,,,,,0
18/03/2022 21:27,,,,,,0
18/03/2022 21:29,,,,,,0
