Time;temperature;air_rh
18/03/2022 18:07;19,18;28,82
18/03/2022 18:09;19,16;28,67
18/03/2022 18:11;19,18;29,03
18/03/2022 18:13;19,16;28,46
18/03/2022 18:15;19,14;28,55
18/03/2022 18:17;19,14;28,99
18/03/2022 18:19;19,15;28,72
18/03/2022 18:21;19,15;28,58
18/03/2022 18:23;19,12;27,87
18/03/2022 18:25;19,09;28,06
18/03/2022 18:27;19,08;28,58
18/03/2022 18:29;19,1;29,25
18/03/2022 18:31;19,12;29,46
18/03/2022 18:33;19,14;29,56
18/03/2022 18:35;19,14;29,13
18/03/2022 18:40;19,15;29,74
18/03/2022 18:42;19,17;29,21
18/03/2022 18:44;19,17;28,82
18/03/2022 18:46;19,15;28,81
18/03/2022 18:48;19,09;28,39
18/03/2022 18:50;19,06;28,15
18/03/2022 18:52;19,04;27,86
18/03/2022 18:54;19,03;28,85
18/03/2022 18:56;19,05;28,65
18/03/2022 18:58;19,04;28,37
18/03/2022 19:00;19,03;28,87
18/03/2022 19:02;19,06;28,76
18/03/2022 19:04;19,06;28,94
18/03/2022 19:06;19,07;28,88
18/03/2022 19:08;19,08;28,87
18/03/2022 19:10;19,07;28,4
18/03/2022 19:12;19,06;29,36
18/03/2022 19:14;19,08;29
18/03/2022 19:16;19,09;29,32
18/03/2022 19:18;19,18;30,31
18/03/2022 19:20;19,34;31,35
18/03/2022 19:22;19,48;31,13
18/03/2022 19:24;19,57;31,34
18/03/2022 19:26;19,65;31,48
18/03/2022 19:28;19,7;31,64
18/03/2022 19:30;19,75;31,74
18/03/2022 19:32;19,79;31,91
18/03/2022 19:34;19,8;32,09
18/03/2022 19:36;19,81;32,33
18/03/2022 19:38;19,81;32,49
18/03/2022 19:40;19,82;32,88
18/03/2022 19:42;19,83;32,99
18/03/2022 19:44;19,84;33,14
18/03/2022 19:46;19,84;33,4
18/03/2022 19:48;19,84;33,46
18/03/2022 19:50;19,84;33,75
18/03/2022 19:52;19,85;33,9
